frame,time,id1,id2,type1,type2,distance(m),TTC(s),PET(s),conflict_type,risk_level,x,y
5,0.5,326,359,motor,non_motor,1.2,0.34,0.0,斜向交叉冲突,一般,294,400
5,0.5,329,359,motor,non_motor,1.41,0.32,0.0,直角交叉冲突,一般,263,412
7,0.7,325,342,motor,non_motor,1.9,0.6,0.0,斜向交叉冲突,一般,225,160
7,0.7,325,365,motor,non_motor,1.7,0.39,0.0,斜向交叉冲突,一般,230,122
8,0.8,325,342,motor,non_motor,1.67,0.53,0.0,斜向交叉冲突,一般,224,165
8,0.8,325,365,motor,non_motor,1.81,0.46,0.0,斜向交叉冲突,一般,230,130
9,0.9,325,342,motor,non_motor,1.56,0.47,0.0,直角交叉冲突,一般,224,170
9,0.9,325,365,motor,non_motor,1.97,0.53,0.0,斜向交叉冲突,一般,229,137
10,1.0,325,342,motor,non_motor,1.45,0.44,0.0,直角交叉冲突,一般,224,175
11,1.1,325,342,motor,non_motor,1.48,0.42,0.0,直角交叉冲突,一般,225,180
12,1.2,325,342,motor,non_motor,1.56,0.44,0.0,直角交叉冲突,一般,225,185
13,1.3,325,342,motor,non_motor,1.72,0.49,0.0,斜向交叉冲突,一般,225,190
14,1.4,325,342,motor,non_motor,1.94,0.52,0.0,斜向交叉冲突,一般,225,196
14,1.4,331,369,motor,non_motor,1.89,0.72,0.0,直角交叉冲突,一般,432,294
23,2.3,325,344,motor,non_motor,1.89,0.45,0.0,直角交叉冲突,一般,216,328
24,2.4,325,344,motor,non_motor,1.78,0.42,0.0,直角交叉冲突,一般,217,336
25,2.5,325,344,motor,non_motor,1.71,0.42,0.0,直角交叉冲突,一般,217,343
26,2.6,325,344,motor,non_motor,1.7,0.43,0.0,直角交叉冲突,一般,217,351
27,2.7,325,344,motor,non_motor,1.71,0.4,0.0,直角交叉冲突,一般,218,359
28,2.8,325,344,motor,non_motor,1.71,0.41,0.0,直角交叉冲突,一般,219,367
29,2.9,325,344,motor,non_motor,1.77,0.44,0.0,直角交叉冲突,一般,220,374
30,3.0,325,344,motor,non_motor,1.84,0.46,0.0,斜向交叉冲突,一般,222,382
31,3.1,325,344,motor,non_motor,1.94,0.47,0.0,斜向交叉冲突,一般,223,390
31,3.1,325,397,motor,non_motor,1.44,0.37,0.0,直角交叉冲突,一般,267,410
33,3.3,325,397,motor,non_motor,1.64,0.41,0.0,直角交叉冲突,一般,269,420
38,3.8,308,397,motor,non_motor,1.08,0.3,0.0,直行-横穿冲突,一般,302,387
47,4.7,331,335,motor,non_motor,1.94,1.03,0.0,斜向交叉冲突,一般,648,364
48,4.8,331,335,motor,non_motor,1.83,1.13,0.0,斜向交叉冲突,一般,649,362
49,4.9,331,335,motor,non_motor,1.74,0.99,0.0,斜向交叉冲突,一般,652,362
50,5.0,331,335,motor,non_motor,1.66,0.89,0.0,直行-横穿冲突,一般,654,362
51,5.1,331,335,motor,non_motor,1.55,0.87,0.0,直行-横穿冲突,一般,656,361
52,5.2,331,335,motor,non_motor,1.6,0.88,0.0,直行-横穿冲突,一般,659,360
53,5.3,331,335,motor,non_motor,1.61,0.91,0.0,直行-横穿冲突,一般,661,360
54,5.4,331,335,motor,non_motor,1.6,0.92,0.0,直行-横穿冲突,一般,663,359
55,5.5,331,335,motor,non_motor,1.58,0.88,0.0,直行-横穿冲突,一般,665,358
56,5.6,331,335,motor,non_motor,1.66,0.94,0.0,斜向交叉冲突,一般,667,358
