track_id,frame,time(s),x(px),y(px),class,conf
325,1,0.1,245,81,motor,0.98
325,2,0.2,246,92,motor,0.99
325,3,0.3,246,103,motor,0.98
325,4,0.4,246,113,motor,0.99
325,5,0.5,246,123,motor,0.97
325,6,0.6,247,133,motor,0.99
325,7,0.7,247,142,motor,0.99
325,8,0.8,246,152,motor,0.98
325,9,0.9,246,162,motor,0.98
325,10,1.0,246,172,motor,0.98
325,11,1.1,247,183,motor,0.99
325,12,1.2,247,193,motor,0.98
325,13,1.3,247,204,motor,0.98
325,14,1.4,247,215,motor,0.97
325,15,1.5,246,225,motor,0.98
325,16,1.6,245,236,motor,0.97
325,17,1.7,245,247,motor,0.97
325,18,1.8,245,258,motor,0.95
325,19,1.9,244,270,motor,0.98
325,20,2.0,244,281,motor,0.97
325,21,2.1,243,294,motor,0.96
325,22,2.2,243,306,motor,0.97
325,23,2.3,243,318,motor,0.98
325,24,2.4,243,330,motor,0.98
325,25,2.5,243,341,motor,0.94
325,26,2.6,243,352,motor,0.98
325,27,2.7,243,365,motor,0.95
325,28,2.8,243,376,motor,0.98
325,29,2.9,244,387,motor,0.97
325,30,3.0,245,398,motor,0.98
325,31,3.1,246,409,motor,0.94
325,32,3.2,247,421,motor,0.93
325,33,3.3,248,432,motor,0.89
325,34,3.4,249,443,motor,0.7
325,35,3.5,250,454,motor,0.89
325,36,3.6,251,464,motor,0.94
325,37,3.7,251,476,motor,0.99
325,38,3.8,251,486,motor,0.99
325,39,3.9,252,486,motor,0.94
325,40,4.0,254,486,motor,0.91
325,41,4.1,254,486,motor,0.61
326,1,0.1,303,342,motor,0.97
326,2,0.2,303,352,motor,0.98
326,3,0.3,304,364,motor,0.97
326,4,0.4,304,374,motor,0.96
326,5,0.5,304,385,motor,0.86
326,6,0.6,305,395,motor,0.95
326,7,0.7,305,405,motor,0.96
326,8,0.8,306,415,motor,0.97
326,9,0.9,307,425,motor,0.94
326,10,1.0,308,436,motor,0.92
326,11,1.1,308,446,motor,0.97
326,12,1.2,309,456,motor,0.98
326,13,1.3,309,465,motor,0.94
326,14,1.4,309,476,motor,0.96
326,15,1.5,310,485,motor,0.92
326,16,1.6,310,486,motor,0.92
326,17,1.7,310,486,motor,0.64
327,47,4.7,805,333,motor,0.96
327,48,4.8,807,333,motor,0.95
327,49,4.9,810,333,motor,0.91
327,50,5.0,816,334,motor,0.94
327,51,5.1,819,334,motor,0.87
327,52,5.2,822,334,motor,0.93
327,53,5.3,827,335,motor,0.94
327,54,5.4,830,335,motor,0.93
327,55,5.5,833,335,motor,0.9
327,56,5.6,836,337,motor,0.93
327,57,5.7,840,336,motor,0.96
327,58,5.8,843,335,motor,0.96
