track_id,frame,time,x,y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,conf
16,0,0.0,322,67,305,4,340,75,motor,0.626
21,0,0.0,303,605,290,643,317,673,motor,0.4
24,0,0.0,15,227,0,225,31,253,motor,0.333
25,0,0.0,275,420,268,449,283,467,non_motor,0.316
26,0,0.0,662,464,654,508,671,516,non_motor,0.285
27,0,0.0,285,84,272,44,298,94,motor,0.285
28,0,0.0,465,342,445,365,485,381,motor,0.266
29,0,0.0,450,538,435,563,466,598,motor,0.26
16,1,0.07,322,64,305,1,339,72,motor,0.684
21,1,0.07,303,605,289,642,317,673,motor,0.352
16,2,0.13,322,61,306,0,338,68,motor,0.704
21,2,0.13,303,605,289,641,318,673,motor,0.362
25,2,0.13,274,415,267,445,282,462,non_motor,0.473
31,2,0.13,1251,361,1225,372,1278,402,motor,0.491
16,3,0.2,321,56,306,0,337,63,motor,0.761
21,3,0.2,303,604,288,640,318,672,motor,0.333
28,3,0.2,463,342,444,365,482,380,motor,0.251
29,3,0.2,453,539,436,559,471,599,motor,0.275
31,3,0.2,1250,362,1222,371,1278,403,motor,0.672
16,4,0.27,322,51,308,0,336,57,motor,0.844
21,4,0.27,302,605,287,639,318,673,motor,0.32
29,4,0.27,454,537,437,558,472,597,motor,0.268
31,4,0.27,1247,362,1218,369,1276,403,motor,0.69
16,5,0.33,321,47,308,0,335,53,motor,0.864
21,5,0.33,301,605,286,638,317,673,motor,0.298
31,5,0.33,1243,361,1214,369,1273,402,motor,0.33
16,6,0.4,321,44,309,0,334,49,motor,0.883
21,6,0.4,300,606,284,637,317,674,motor,0.308
31,6,0.4,1240,361,1210,367,1271,402,motor,0.459
16,7,0.47,321,41,310,0,333,46,motor,0.834
21,7,0.47,302,605,285,635,319,673,motor,0.269
28,7,0.47,462,342,443,365,482,380,motor,0.257
31,7,0.47,1238,360,1208,367,1269,401,motor,0.43
16,8,0.53,322,36,311,0,333,41,motor,0.865
54,8,0.53,269,399,261,429,277,444,non_motor,0.516
16,9,0.6,321,34,311,0,332,38,motor,0.666
54,9,0.6,267,398,259,427,275,443,non_motor,0.498
55,9,0.6,220,338,213,363,228,376,non_motor,0.577
16,10,0.67,321,31,311,0,331,35,motor,0.494
54,10,0.67,266,398,256,424,276,443,non_motor,0.452
55,10,0.67,219,335,212,360,226,373,non_motor,0.55
60,10,0.67,286,550,276,578,296,612,motor,0.357
16,11,0.73,321,30,312,0,331,34,motor,0.438
54,11,0.73,264,400,253,422,276,445,non_motor,0.355
55,11,0.73,217,333,210,357,225,370,non_motor,0.448
60,11,0.73,286,549,276,576,296,611,motor,0.285
55,12,0.8,216,332,208,355,224,369,non_motor,0.267
60,12,0.8,285,549,275,577,296,611,motor,0.255
60,13,0.87,285,548,275,576,295,609,motor,0.295
60,14,0.93,285,546,275,573,295,607,motor,0.394
60,15,1.0,284,544,274,570,295,605,motor,0.488
60,16,1.07,284,544,273,568,296,605,motor,0.314
88,16,1.07,498,247,476,248,521,275,motor,0.648
60,17,1.13,284,543,273,567,296,604,motor,0.307
88,17,1.13,497,246,475,247,519,274,motor,0.654
96,17,1.13,304,595,290,623,319,662,motor,0.353
88,18,1.2,495,245,473,246,517,273,motor,0.589
96,18,1.2,305,598,289,622,321,665,motor,0.355
88,19,1.27,492,243,471,244,513,271,motor,0.5
107,19,1.27,549,344,533,367,565,383,motor,0.317
60,20,1.33,284,536,274,561,295,596,motor,0.282
88,20,1.33,489,243,468,243,510,270,motor,0.538
107,20,1.33,549,344,533,367,565,383,motor,0.343
60,21,1.4,285,535,275,560,296,595,motor,0.298
88,21,1.4,486,241,466,242,507,268,motor,0.546
107,21,1.4,549,344,533,367,565,383,motor,0.346
88,22,1.47,483,240,462,240,504,267,motor,0.497
107,22,1.47,549,344,533,367,565,383,motor,0.336
121,22,1.47,1150,354,1126,364,1174,394,motor,0.385
107,23,1.53,549,344,533,367,565,383,motor,0.315
121,23,1.53,1146,353,1123,363,1170,393,motor,0.374
107,24,1.6,549,344,534,367,565,383,motor,0.325
130,24,1.6,484,243,472,246,496,271,motor,0.473
107,25,1.67,549,344,534,367,565,383,motor,0.312
107,26,1.74,549,344,534,367,565,383,motor,0.291
140,26,1.74,339,68,330,45,348,76,motor,0.421
107,27,1.8,549,344,534,367,565,383,motor,0.288
121,27,1.8,1126,351,1102,360,1150,391,motor,0.489
144,27,1.8,301,62,283,0,319,69,motor,0.543
145,27,1.8,982,353,970,381,994,393,non_motor,0.437
107,28,1.87,549,344,534,367,565,383,motor,0.296
121,28,1.87,1121,351,1096,360,1146,391,motor,0.392
144,28,1.87,301,58,284,0,318,65,motor,0.569
107,29,1.94,549,344,534,367,565,383,motor,0.285
121,29,1.94,1116,350,1092,359,1140,389,motor,0.284
144,29,1.94,300,54,284,0,317,61,motor,0.481
158,29,1.94,268,380,261,409,275,423,non_motor,0.511
107,30,2.0,549,344,534,367,565,383,motor,0.261
121,30,2.0,1112,350,1087,357,1137,389,motor,0.42
144,30,2.0,300,51,285,0,316,57,motor,0.423
42,31,2.07,266,494,253,493,280,549,motor,0.298
107,31,2.07,549,344,534,367,565,383,motor,0.258
144,31,2.07,300,46,286,0,315,52,motor,0.391
165,31,2.07,157,575,142,606,173,639,motor,0.551
169,31,2.07,238,349,230,370,246,388,non_motor,0.512
107,32,2.14,550,344,534,367,566,383,motor,0.255
121,32,2.14,1106,349,1080,355,1132,388,motor,0.344
144,32,2.14,300,44,287,0,314,49,motor,0.399
165,32,2.14,160,576,145,607,176,640,motor,0.38
169,32,2.14,237,353,225,368,249,393,non_motor,0.395
121,33,2.2,1104,349,1078,355,1131,388,motor,0.406
144,33,2.2,300,41,288,0,313,46,motor,0.344
165,33,2.2,161,577,147,611,176,642,motor,0.33
169,33,2.2,235,357,221,366,250,397,non_motor,0.38
165,34,2.27,162,580,148,615,177,645,motor,0.279
181,34,2.27,333,35,323,1,343,39,motor,0.429
187,35,2.34,267,91,256,50,279,102,motor,0.316
144,36,2.4,299,32,289,0,310,36,motor,0.34
187,36,2.4,268,87,258,50,278,97,motor,0.346
144,37,2.47,299,29,289,0,310,33,motor,0.366
