epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.70585,2.18994,4.216,1.13154,0.00513,0.02482,0.00269,0.00137,1.69917,3.82152,0.96543,6.668e-05,6.668e-05,6.668e-05
2,3.59058,2.54858,4.39027,1.15934,0.02065,0.14894,0.01352,0.0082,1.66128,3.7233,0.90784,0.000148545,0.000148545,0.000148545
3,4.47674,2.06538,3.69223,0.98934,0.01566,0.14184,0.0101,0.00417,1.78176,3.65078,0.90602,0.000228759,0.000228759,0.000228759
4,5.31711,1.98963,3.25268,0.94206,0.0177,0.17376,0.01216,0.00495,1.98222,3.58575,0.91396,0.000307323,0.000307323,0.000307323
5,6.1572,1.97482,2.70767,0.94568,0.01881,0.18085,0.01289,0.00482,1.97286,3.53668,0.91308,0.000384237,0.000384237,0.000384237
6,7.04765,1.89982,2.16214,0.9235,0.0284,0.28014,0.14829,0.05964,2.00517,3.39412,0.9226,0.0004595,0.0004595,0.0004595
7,7.95037,1.98878,2.03342,0.92393,0.03749,0.36879,0.28684,0.12168,1.91146,3.11466,0.89412,0.000533113,0.000533113,0.000533113
8,8.8272,1.82527,1.7418,0.91394,0.03749,0.36879,0.28684,0.12168,1.91146,3.11466,0.89412,0.000605076,0.000605076,0.000605076
9,10.1071,1.86071,1.85154,0.91909,0.89829,0.31939,0.3715,0.17592,1.8562,2.82697,0.88534,0.000675388,0.000675388,0.000675388
10,11.9446,1.82017,1.6521,0.90218,0.97441,0.19722,0.35051,0.17443,1.84957,2.65442,0.8916,0.00074405,0.00074405,0.00074405
11,13.7721,2.00505,1.81925,0.89028,0.97441,0.19722,0.35051,0.17443,1.84957,2.65442,0.8916,0.000811062,0.000811062,0.000811062
12,15.5279,1.88521,1.736,0.91885,0.95509,0.21563,0.35718,0.15482,1.96381,2.53613,0.91942,0.000876424,0.000876424,0.000876424
13,17.1387,1.86866,1.63697,0.92175,0.95509,0.21563,0.35718,0.15482,1.96381,2.53613,0.91942,0.000940135,0.000940135,0.000940135
14,18.8003,1.9456,1.72339,0.92069,0.95509,0.21563,0.35718,0.15482,1.96381,2.53613,0.91942,0.0010022,0.0010022,0.0010022
15,20.553,1.80291,1.56434,0.90838,0.91754,0.25138,0.36035,0.1881,1.78768,2.19969,0.90906,0.00106261,0.00106261,0.00106261
16,22.7246,1.85627,1.71653,0.94652,0.91754,0.25138,0.36035,0.1881,1.78768,2.19969,0.90906,0.00112137,0.00112137,0.00112137
17,24.484,1.84953,1.55755,0.91578,0.91754,0.25138,0.36035,0.1881,1.78768,2.19969,0.90906,0.00117848,0.00117848,0.00117848
18,26.3311,2.03056,1.58068,0.9204,0.8731,0.30851,0.40787,0.21503,1.73547,1.67515,0.91108,0.00123394,0.00123394,0.00123394
19,27.9897,1.81902,1.45748,0.91228,0.8731,0.30851,0.40787,0.21503,1.73547,1.67515,0.91108,0.00128774,0.00128774,0.00128774
20,29.8574,1.67995,1.49478,0.92048,0.8731,0.30851,0.40787,0.21503,1.73547,1.67515,0.91108,0.0013399,0.0013399,0.0013399
21,31.6174,1.7637,1.44313,0.9377,0.89659,0.3617,0.4478,0.22107,1.68977,1.41213,0.91433,0.00133693,0.00133693,0.00133693
22,33.4649,1.84437,1.44036,0.90786,0.89659,0.3617,0.4478,0.22107,1.68977,1.41213,0.91433,0.00132043,0.00132043,0.00132043
23,35.4041,1.80064,1.39665,0.91293,0.89659,0.3617,0.4478,0.22107,1.68977,1.41213,0.91433,0.00130393,0.00130393,0.00130393
24,37.1131,1.98711,1.55218,0.93117,0.42149,0.48376,0.49332,0.26083,1.64471,1.29706,0.91381,0.00128742,0.00128742,0.00128742
25,38.8017,1.81195,1.45132,0.93502,0.42149,0.48376,0.49332,0.26083,1.64471,1.29706,0.91381,0.00127092,0.00127092,0.00127092
26,40.787,1.7969,1.35717,0.9313,0.42149,0.48376,0.49332,0.26083,1.64471,1.29706,0.91381,0.00125442,0.00125442,0.00125442
27,42.804,1.84585,1.49979,0.94558,0.41341,0.49978,0.50307,0.26738,1.63337,1.27876,0.91055,0.00123791,0.00123791,0.00123791
28,44.8148,1.88941,1.41001,0.92512,0.41341,0.49978,0.50307,0.26738,1.63337,1.27876,0.91055,0.00122141,0.00122141,0.00122141
29,45.8461,1.80304,1.37733,0.92286,0.41341,0.49978,0.50307,0.26738,1.63337,1.27876,0.91055,0.00120491,0.00120491,0.00120491
30,46.8114,2.0234,1.51834,0.92925,0.52622,0.45356,0.50315,0.26704,1.63496,1.30399,0.91166,0.0011884,0.0011884,0.0011884
31,47.668,1.86735,1.36963,0.92343,0.52622,0.45356,0.50315,0.26704,1.63496,1.30399,0.91166,0.0011719,0.0011719,0.0011719
32,48.4817,1.79878,1.33405,0.8857,0.52622,0.45356,0.50315,0.26704,1.63496,1.30399,0.91166,0.0011554,0.0011554,0.0011554
33,49.3137,1.77982,1.34642,0.90679,0.52622,0.45356,0.50315,0.26704,1.63496,1.30399,0.91166,0.00113889,0.00113889,0.00113889
34,50.1991,1.73301,1.32259,0.88816,0.58927,0.44476,0.51069,0.27652,1.5875,1.26913,0.9079,0.00112239,0.00112239,0.00112239
35,51.6504,1.59002,1.24865,0.88995,0.58927,0.44476,0.51069,0.27652,1.5875,1.26913,0.9079,0.00110589,0.00110589,0.00110589
36,53.0718,1.65899,1.25882,0.88161,0.58927,0.44476,0.51069,0.27652,1.5875,1.26913,0.9079,0.00108938,0.00108938,0.00108938
37,54.5487,1.75144,1.24907,0.8888,0.59644,0.51534,0.53498,0.28817,1.58479,1.25008,0.90502,0.00107288,0.00107288,0.00107288
38,56.0328,1.63098,1.30114,0.90685,0.59644,0.51534,0.53498,0.28817,1.58479,1.25008,0.90502,0.00105638,0.00105638,0.00105638
39,57.4602,1.7346,1.32052,0.90408,0.59644,0.51534,0.53498,0.28817,1.58479,1.25008,0.90502,0.00103987,0.00103987,0.00103987
40,58.9103,1.90621,1.32361,0.88418,0.64638,0.50482,0.55595,0.30428,1.58782,1.17194,0.90117,0.00102337,0.00102337,0.00102337
41,60.3657,1.6187,1.19975,0.91254,0.64638,0.50482,0.55595,0.30428,1.58782,1.17194,0.90117,0.00100687,0.00100687,0.00100687
42,61.791,1.77647,1.25257,0.88082,0.64638,0.50482,0.55595,0.30428,1.58782,1.17194,0.90117,0.000990365,0.000990365,0.000990365
43,63.2907,1.82634,1.31398,0.8903,0.57568,0.53806,0.56639,0.29955,1.60669,1.15498,0.89672,0.000973861,0.000973861,0.000973861
44,64.7463,1.65921,1.19025,0.88976,0.57568,0.53806,0.56639,0.29955,1.60669,1.15498,0.89672,0.000957358,0.000957358,0.000957358
45,66.1367,1.70784,1.32762,0.9124,0.57568,0.53806,0.56639,0.29955,1.60669,1.15498,0.89672,0.000940855,0.000940855,0.000940855
46,67.5789,1.67529,1.25651,0.89124,0.72889,0.56338,0.59833,0.33094,1.58092,1.11108,0.90439,0.000924352,0.000924352,0.000924352
47,68.9812,1.71735,1.20834,0.8861,0.72889,0.56338,0.59833,0.33094,1.58092,1.11108,0.90439,0.000907848,0.000907848,0.000907848
48,70.402,1.65142,1.17128,0.88238,0.72889,0.56338,0.59833,0.33094,1.58092,1.11108,0.90439,0.000891345,0.000891345,0.000891345
49,71.8424,1.65242,1.162,0.88635,0.72889,0.56338,0.59833,0.33094,1.58092,1.11108,0.90439,0.000874842,0.000874842,0.000874842
50,73.3549,1.56523,1.17848,0.88783,0.7865,0.56895,0.62245,0.34978,1.51825,1.04455,0.89464,0.000858338,0.000858338,0.000858338
51,74.8806,1.53276,1.12119,0.89447,0.7865,0.56895,0.62245,0.34978,1.51825,1.04455,0.89464,0.000841835,0.000841835,0.000841835
52,76.3188,1.53355,1.10358,0.90128,0.7865,0.56895,0.62245,0.34978,1.51825,1.04455,0.89464,0.000825332,0.000825332,0.000825332
53,77.8844,1.63712,1.14665,0.9057,0.7753,0.59805,0.64139,0.35968,1.5186,1.01348,0.88572,0.000808828,0.000808828,0.000808828
54,79.4006,1.51874,1.0876,0.87724,0.7753,0.59805,0.64139,0.35968,1.5186,1.01348,0.88572,0.000792325,0.000792325,0.000792325
55,80.8769,1.57031,1.08962,0.8642,0.7753,0.59805,0.64139,0.35968,1.5186,1.01348,0.88572,0.000775822,0.000775822,0.000775822
56,81.8671,1.61795,1.17281,0.87193,0.73168,0.61004,0.65416,0.3588,1.50313,0.99764,0.8784,0.000759318,0.000759318,0.000759318
57,82.6583,1.73026,1.18668,0.86853,0.73168,0.61004,0.65416,0.3588,1.50313,0.99764,0.8784,0.000742815,0.000742815,0.000742815
58,83.4125,1.53368,1.09269,0.87777,0.73168,0.61004,0.65416,0.3588,1.50313,0.99764,0.8784,0.000726312,0.000726312,0.000726312
59,84.1763,1.63024,1.12003,0.86706,0.75959,0.62792,0.65952,0.37182,1.51006,0.97517,0.87918,0.000709809,0.000709809,0.000709809
60,84.9572,1.70697,1.16934,0.87091,0.75959,0.62792,0.65952,0.37182,1.51006,0.97517,0.87918,0.000693305,0.000693305,0.000693305
61,85.7292,1.67493,1.09859,0.86439,0.75959,0.62792,0.65952,0.37182,1.51006,0.97517,0.87918,0.000676802,0.000676802,0.000676802
62,86.5679,1.57425,1.07516,0.87119,0.73684,0.62322,0.64797,0.36899,1.51733,0.98996,0.88192,0.000660299,0.000660299,0.000660299
63,87.9818,1.49424,1.03671,0.89202,0.73684,0.62322,0.64797,0.36899,1.51733,0.98996,0.88192,0.000643795,0.000643795,0.000643795
64,89.5318,1.54952,1.03208,0.85725,0.73684,0.62322,0.64797,0.36899,1.51733,0.98996,0.88192,0.000627292,0.000627292,0.000627292
65,90.9491,1.66362,1.09831,0.86739,0.73684,0.62322,0.64797,0.36899,1.51733,0.98996,0.88192,0.000610789,0.000610789,0.000610789
66,92.4176,1.55914,1.05893,0.86352,0.73257,0.61739,0.64729,0.37221,1.5,0.97924,0.87955,0.000594286,0.000594286,0.000594286
67,93.8122,1.50469,1.02354,0.86003,0.73257,0.61739,0.64729,0.37221,1.5,0.97924,0.87955,0.000577782,0.000577782,0.000577782
68,95.2616,1.71935,1.12554,0.86494,0.73257,0.61739,0.64729,0.37221,1.5,0.97924,0.87955,0.000561279,0.000561279,0.000561279
69,96.7258,1.44093,0.97677,0.89232,0.70137,0.64028,0.65403,0.38429,1.47635,0.94385,0.87706,0.000544776,0.000544776,0.000544776
70,98.1159,1.63438,1.07405,0.85051,0.70137,0.64028,0.65403,0.38429,1.47635,0.94385,0.87706,0.000528272,0.000528272,0.000528272
71,99.5681,1.57168,1.04427,0.86654,0.70137,0.64028,0.65403,0.38429,1.47635,0.94385,0.87706,0.000511769,0.000511769,0.000511769
72,101.107,1.59669,1.08206,0.85677,0.75261,0.63501,0.66606,0.38846,1.46568,0.92501,0.87364,0.000495266,0.000495266,0.000495266
73,102.561,1.39546,0.94812,0.87356,0.75261,0.63501,0.66606,0.38846,1.46568,0.92501,0.87364,0.000478762,0.000478762,0.000478762
74,104.077,1.42749,0.97051,0.87012,0.75261,0.63501,0.66606,0.38846,1.46568,0.92501,0.87364,0.000462259,0.000462259,0.000462259
75,105.562,1.52047,0.98405,0.867,0.79035,0.62975,0.67072,0.39396,1.46279,0.92,0.87115,0.000445756,0.000445756,0.000445756
76,106.989,1.44317,0.97061,0.85506,0.79035,0.62975,0.67072,0.39396,1.46279,0.92,0.87115,0.000429253,0.000429253,0.000429253
77,108.47,1.51199,0.97677,0.87492,0.79035,0.62975,0.67072,0.39396,1.46279,0.92,0.87115,0.000412749,0.000412749,0.000412749
78,109.971,1.59153,1.02119,0.87254,0.74926,0.64028,0.67705,0.39477,1.46508,0.90588,0.87146,0.000396246,0.000396246,0.000396246
79,110.768,1.66546,1.08191,0.85726,0.74926,0.64028,0.67705,0.39477,1.46508,0.90588,0.87146,0.000379743,0.000379743,0.000379743
80,111.554,1.5815,1.01783,0.87044,0.74926,0.64028,0.67705,0.39477,1.46508,0.90588,0.87146,0.000363239,0.000363239,0.000363239
81,112.355,1.49191,0.98739,0.87264,0.74926,0.64028,0.67705,0.39477,1.46508,0.90588,0.87146,0.000346736,0.000346736,0.000346736
82,113.124,1.57993,1.07411,0.86052,0.77298,0.62975,0.68751,0.39533,1.47594,0.89541,0.8735,0.000330233,0.000330233,0.000330233
83,113.907,1.57507,1.00985,0.84241,0.77298,0.62975,0.68751,0.39533,1.47594,0.89541,0.8735,0.000313729,0.000313729,0.000313729
84,114.69,1.47108,0.94987,0.85225,0.77298,0.62975,0.68751,0.39533,1.47594,0.89541,0.8735,0.000297226,0.000297226,0.000297226
85,115.475,1.49225,0.9411,0.85184,0.80857,0.61922,0.67678,0.39477,1.46258,0.88194,0.87281,0.000280723,0.000280723,0.000280723
86,116.265,1.49815,1.01734,0.85134,0.80857,0.61922,0.67678,0.39477,1.46258,0.88194,0.87281,0.00026422,0.00026422,0.00026422
87,117.021,1.42804,0.93664,0.84775,0.80857,0.61922,0.67678,0.39477,1.46258,0.88194,0.87281,0.000247716,0.000247716,0.000247716
88,117.795,1.46367,0.94247,0.86373,0.83813,0.61739,0.67887,0.4009,1.45029,0.87166,0.87123,0.000231213,0.000231213,0.000231213
89,118.571,1.51816,0.9819,0.87246,0.83813,0.61739,0.67887,0.4009,1.45029,0.87166,0.87123,0.00021471,0.00021471,0.00021471
90,119.334,1.50824,0.97956,0.86777,0.83813,0.61739,0.67887,0.4009,1.45029,0.87166,0.87123,0.000198206,0.000198206,0.000198206
91,120.133,1.51299,0.99817,0.8654,0.85909,0.60196,0.68005,0.40491,1.42736,0.86812,0.86876,0.000181703,0.000181703,0.000181703
92,120.884,1.37365,0.88353,0.87348,0.85909,0.60196,0.68005,0.40491,1.42736,0.86812,0.86876,0.0001652,0.0001652,0.0001652
93,121.623,1.48204,0.92961,0.87597,0.85909,0.60196,0.68005,0.40491,1.42736,0.86812,0.86876,0.000148696,0.000148696,0.000148696
94,122.413,1.4353,0.96282,0.87389,0.86412,0.59795,0.68124,0.4097,1.41861,0.86365,0.86745,0.000132193,0.000132193,0.000132193
95,123.158,1.40095,0.90315,0.88549,0.86412,0.59795,0.68124,0.4097,1.41861,0.86365,0.86745,0.00011569,0.00011569,0.00011569
96,123.949,1.36386,0.93098,0.87454,0.86412,0.59795,0.68124,0.4097,1.41861,0.86365,0.86745,9.91865e-05,9.91865e-05,9.91865e-05
97,124.705,1.457,0.99024,0.85832,0.86412,0.59795,0.68124,0.4097,1.41861,0.86365,0.86745,8.26832e-05,8.26832e-05,8.26832e-05
98,125.473,1.49331,0.95567,0.85578,0.85049,0.61739,0.67969,0.4126,1.41294,0.86442,0.86631,6.61799e-05,6.61799e-05,6.61799e-05
99,126.251,1.41006,0.95408,0.84729,0.85049,0.61739,0.67969,0.4126,1.41294,0.86442,0.86631,4.96766e-05,4.96766e-05,4.96766e-05
100,127.111,1.41119,0.90556,0.87034,0.85049,0.61739,0.67969,0.4126,1.41294,0.86442,0.86631,3.31733e-05,3.31733e-05,3.31733e-05
